Object ID,Title,Period,Medium,Image,Image Download Link,Object URL,Artist
16354,dish with japanese court woman and birds,"early 18th century, decoration ca. 1750",hard-paste porcelain (jingdezhen ware),https://images.metmuseum.org/CRDImages/es/original/DP-15122-089.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-089.jpg,https://www.metmuseum.org/art/collection/search/208344,unknown
16355,saucer,ca. 1720–50,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/ES4007.jpg,https://images.metmuseum.org/CRDImages/es/original/ES4007.jpg,https://www.metmuseum.org/art/collection/search/208345,unknown
16356,saucer,early 18th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/ES4010.jpg,https://images.metmuseum.org/CRDImages/es/original/ES4010.jpg,https://www.metmuseum.org/art/collection/search/208349,unknown
16357,cup and saucer,ca. 1760–70,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/260536.jpg,https://images.metmuseum.org/CRDImages/es/original/260536.jpg,https://www.metmuseum.org/art/collection/search/208352,unknown
16358,"dish with the story of ""hob in the well""",ca. 1755,soft-paste porcelain painted with colored enamels over transparent glaze,https://images.metmuseum.org/CRDImages/es/original/DP-15122-091.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-091.jpg,https://www.metmuseum.org/art/collection/search/208367,chelsea porcelain manufactory
16359,dish with dragon,1680–1700,hard-paste porcelain painted with colored enamels over transparent glaze (hizen ware; kakiemon type),https://images.metmuseum.org/CRDImages/es/original/DP-15122-093.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-093.jpg,https://www.metmuseum.org/art/collection/search/208371,unknown
16360,bowl with dragon,ca. 1735,hard-paste porcelain painted with enamels over transparent glaze (jingdezhen ware),https://images.metmuseum.org/CRDImages/es/original/DP-15122-095.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-095.jpg,https://www.metmuseum.org/art/collection/search/208374,unknown
16361,dish with tiger and bamboo,ca. 1720,hard-paste porcelain painted with cobalt blue under transparent glaze (hizen ware; kakiemon type),https://images.metmuseum.org/CRDImages/es/original/DP-15122-099.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-099.jpg,https://www.metmuseum.org/art/collection/search/208379,unknown
16362,teabowl and saucer,ca. 1735–50,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_198.jpg,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_198.jpg,https://www.metmuseum.org/art/collection/search/208392,unknown
16363,wine pot,mid-19th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/ES7953.jpg,https://images.metmuseum.org/CRDImages/es/original/ES7953.jpg,https://www.metmuseum.org/art/collection/search/208395,unknown
16364,vase,18th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_206.jpg,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_206.jpg,https://www.metmuseum.org/art/collection/search/208397,unknown
16365,vase,late 18th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_207.jpg,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_207.jpg,https://www.metmuseum.org/art/collection/search/208398,unknown
16366,beaker,17th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/DP23007.jpg,https://images.metmuseum.org/CRDImages/es/original/DP23007.jpg,https://www.metmuseum.org/art/collection/search/208399,unknown
16367,beaker,late 18th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/DP23008.jpg,https://images.metmuseum.org/CRDImages/es/original/DP23008.jpg,https://www.metmuseum.org/art/collection/search/208400,unknown
16368,teapot,18th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/DP23009.jpg,https://images.metmuseum.org/CRDImages/es/original/DP23009.jpg,https://www.metmuseum.org/art/collection/search/208401,unknown
16369,teapot,ca. 1760,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/260347.jpg,https://images.metmuseum.org/CRDImages/es/original/260347.jpg,https://www.metmuseum.org/art/collection/search/208402,unknown
