Title,image_url,detail_url,Object number,Artist,Date,Medium,Dimensions,Credit Line,Culture,Place of Origin,Dynasty,Materials,Department,Classifications,On View,Markings,Period,Signed,Inscribed,(not entered)
"Covered jar, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/16430/preview,https://searchcollection.asianart.org/objects/5638/covered-jar-one-of-a-pair?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=814,B60P115+.a-.b,,1920-1940,,"H. 28 3/8 in x Diam. 16 in, H. 73.3 cm x Diam. 40.6 cm",The Avery Brundage Collection,,"Beijing, China; Beijing",,Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,Underglaze blue six-character mark in two columns,,,,
Covered spittoon,https://searchcollection.asianart.org/internal/media/dispatcher/16679/preview,https://searchcollection.asianart.org/objects/5651/covered-spittoon?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=815,B60P289.a-.b,,,,"H. 3 3/4 in x Diam. 6 in, H. 9.5 cm x Diam. 15.2 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Qianlong emperor (1736-1795)",Cloisone enamel on bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Wine cup with three goldfish, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/17225/preview,https://searchcollection.asianart.org/objects/5702/wine-cup-with-three-goldfish-one-of-a-pair?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=816,B60P1267.b,,,,"H. 1 5/8 in x Diam. 3 1/8 in, H. 4.1 cm x Diam. 7.9 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,,,,,
Dish with a magpie and three apricots,https://searchcollection.asianart.org/internal/media/dispatcher/17323/preview,https://searchcollection.asianart.org/objects/5719/dish-with-a-magpie-and-three-apricots?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=817,B60P1336,,,,"H. 1 5/8 in x Diam. 8 1/8 in, H. 4.2 cm x Diam. 20.06 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,Kangxi mark,,,,
"Bowl with boys at play, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/17446/preview,https://searchcollection.asianart.org/objects/5740/bowl-with-boys-at-play-one-of-a-pair?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=818,B60P1446,,,,"H. 2 3/4 in x Diam. 5 3/4 in, H. 7 cm x Diam. 14.6 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province","Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)","Porcelain with incised decoration, yellow glaze, and polychrome enamel painting",Chinese Art,Ceramics,Not on view,"Yongzheng mark, underglaze blue six-character mark in two columns",,,,
Covered bowl with design of dragons,https://searchcollection.asianart.org/internal/media/dispatcher/18716/preview,https://searchcollection.asianart.org/objects/5812/covered-bowl-with-design-of-dragons?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=819,B60P2109.a-.b,,1723-1735,,"H. 5 1/2 in x Diam. 8 in, H. 14 cm x Diam. 20.3 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Porcelain with underglaze blue and overglaze multicolor,Chinese Art,Ceramics,On view,"Yongzheng mark, underglaze blue six-character mark in two columns",,,,
Square seal box decorated with fungus of immortality,https://searchcollection.asianart.org/internal/media/dispatcher/18973/preview,https://searchcollection.asianart.org/objects/5829/square-seal-box-decorated-with-fungus-of-immortality?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=820,B60P2369,,,,"H. 2 1/8 in x W. 3 7/8 in x D. 3 7/8 in, H. 5.4 cm x W. 9.8 cm x D. 9.8 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Porcelain with underglaze blue decoration,Chinese Art,Ceramics,Not on view,,,,,
Avalokiteshvara (Guanyin),https://searchcollection.asianart.org/internal/media/dispatcher/61877/preview,https://searchcollection.asianart.org/objects/5856/avalokiteshvara-guanyin?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=821,B60P36+,,approx. 1700-1800,,H. 7 3/8 in x W. 5 3/8 in x D. 4 1/2 in,The Avery Brundage Collection,,"Fujian province, China; Fujian province",Ming dynasty (1368-1644),Porcelain with white glaze,Chinese Art,Ceramics,Not on view,,,,,
Jar with fish in lotus pond,https://searchcollection.asianart.org/internal/media/dispatcher/70315/preview,https://searchcollection.asianart.org/objects/5870/jar-with-fish-in-lotus-pond?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=822,B60P79+,,,,"H. 11 1/2 in x Diam. 13 5/8 in, H. 29.2 cm x Diam. 34.6 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Ming dynasty (1368-1644), Reign of the Jiajing emperor (1522-1566)",Porcelain with underglaze blue and overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,underglaze blue six-character mark in two columns,Ming,,,
Saucer with egret and lotus,https://searchcollection.asianart.org/internal/media/dispatcher/21199/preview,https://searchcollection.asianart.org/objects/5895/saucer-with-egret-and-lotus?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=823,B62P111,,,,"H. 1 3/8 in x Diam. 5 3/4 in, H. 3.5 cm x Diam. 14.6 cm",The Avery Brundage Collection,,Southern China,"Ming dynasty (1368-1644), Reign of the Tianqi emperor (1621-1627)",Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,Chenghua mark and underglaze blue six-character mark in two columns,,,,
Bowl with design of eight cranes flying through clouds,https://searchcollection.asianart.org/internal/media/dispatcher/21284/preview,https://searchcollection.asianart.org/objects/5909/bowl-with-design-of-eight-cranes-flying-through-clouds?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=824,B62P153.a,,1723-1735,,"H. 2 1/2 in x Diam. 5 7/8 in, H. 6/3 cm x Diam. 15 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Porcelain with overglaze multicolor decoration,Chinese Art,Ceramics,On view,,,,,
Jar with a mythical creature (qilin) and boys,https://searchcollection.asianart.org/internal/media/dispatcher/72468/preview,https://searchcollection.asianart.org/objects/5951/jar-with-a-mythical-creature-qilin-and-boys?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=825,B66P55,,approx. 1750-1850,,"H. 9 1/2 in x Diam. 7 3/4 in, H. 24.1 cm x Diam. 19.7 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province",Qing dynasty (1644-1911),Porcelain with polychrome decoration,Chinese Art,Ceramics,Not on view,,,,,
Vase in the shape of a bottle gourd,https://searchcollection.asianart.org/internal/media/dispatcher/24078/preview,https://searchcollection.asianart.org/objects/6120/vase-in-the-shape-of-a-bottle-gourd?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=826,B69P158L,,,,"H. 8 3/4 in x Diam. 4 1/4 in, H. 22.2 cm x Diam. 10.8 cm",Gift of Roy Leventritt,,China,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with underglaze blue decoration,Chinese Art,Ceramics,Not on view,,,,,
Water receptacle decorated with a rose,https://searchcollection.asianart.org/internal/media/dispatcher/16219/preview,https://searchcollection.asianart.org/objects/6167/water-receptacle-decorated-with-a-rose?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=827,B60P38,,,,"H. 3 in x Diam. 5 1/4 in, H. 7.6 cm x Diam. 13.3 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with underglaze copper red and overglaze enamel decoration,Chinese Art,Ceramics,Not on view,Kangxi mark,,,,
Meditating Lohan,https://searchcollection.asianart.org/internal/media/dispatcher/13502/preview,https://searchcollection.asianart.org/objects/6191/meditating-lohan?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=828,B60J1,,1900s,,"H. 5 1/4 in x W. 2 3/4 in x D. 1 3/4 in, H. 13.3 cm x W. 7 cm x D. 4.4 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Openwork perfumer in Hindustan style,https://searchcollection.asianart.org/internal/media/dispatcher/13504/preview,https://searchcollection.asianart.org/objects/6192/openwork-perfumer-in-hindustan-style?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=829,B60J1+,,approx. 1900-1911,,"H. 8 1/2 in x W. 9 1/2 in x D. 5 5/8 in, H. 21.6 cm x W. 24.1 cm x D. 14.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite and turquoise,Chinese Art,Jade And Stones,Not on view,,,,,
Ritual vessel (hu),https://searchcollection.asianart.org/internal/media/dispatcher/13612/preview,https://searchcollection.asianart.org/objects/6215/ritual-vessel-hu?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=830,B60J21+,,1900-1949,,"H. 10 1/4 in x W. 5 1/8 in x D. 5 1/8 in, H. 26 cm x W. 13.3.cm x D. 13.3 cm",The Avery Brundage Collection,,China,,Jadeite,Chinese Art,Jade And Stones,Not on view,,,,,
Vessel (gong),https://searchcollection.asianart.org/internal/media/dispatcher/13613/preview,https://searchcollection.asianart.org/objects/6216/vessel-gong?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=831,B60J22,,approx. 1900-1949,,"H. 8 1/2 in x W. 3 in x D. 5 1/2 in, H. 21.6 cm x W. 7.6 cm x D. 14 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Hetian nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Openwork perfumer in Hindustan style,https://searchcollection.asianart.org/internal/media/dispatcher/13506/preview,https://searchcollection.asianart.org/objects/6228/openwork-perfumer-in-hindustan-style?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=832,B60J2+,,approx. 1900-1911,,"H. 8 1/2 in x W. 9 1/2 in x D. 5 5/8 in, H. 21.6 cm x W. 24.1 cm x D. 14.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite and turquoise,Chinese Art,Jade And Stones,Not on view,,,,,
Openwork perfumer in Hindustan style,https://searchcollection.asianart.org/internal/media/dispatcher/13511/preview,https://searchcollection.asianart.org/objects/6229/openwork-perfumer-in-hindustan-style?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=833,B60J3+,,approx. 1900-1911,,"H. 8 1/2 in x W. 9 1/2 in x D. 5 5/8 in, H. 21.6 cm x W. 24.1 cm x D. 14.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite and turquoise,Chinese Art,Jade And Stones,Not on view,,,,,
One of a set of three tablets (yuce),https://searchcollection.asianart.org/internal/media/dispatcher/13692/preview,https://searchcollection.asianart.org/objects/6239/one-of-a-set-of-three-tablets-yuce?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=834,B60J43,,dated 1799,,"H. 11 3/8 in x W. 5 1/16 in x D. 3/8 in, H. 28.9 cm x W. 12.9 cm x D. 1 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Jiaqing emperor (1796-1820)",Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Rhyton with dragons,https://searchcollection.asianart.org/internal/media/dispatcher/13704/preview,https://searchcollection.asianart.org/objects/6243/rhyton-with-dragons?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=835,B60J51,,1800s,,"H. 6 1/2 in x W. 6 1/2 in x D. 2 1/2 in, H. 16.5 cm x W. 16.5 cm x D. 6.4 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Incense burner (lu) with elephant head handles,https://searchcollection.asianart.org/internal/media/dispatcher/13721/preview,https://searchcollection.asianart.org/objects/6249/incense-burner-lu-with-elephant-head-handles?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=836,B60J57,,,,H. 2 7/8 in x W. 6 3/4 in x D. 2 7/8 in x H. 7.3 cm x W. 17.1 cm x D. 7.3 cm,The Avery Brundage Collection,,China,Ming dynasty (1368-1644) or Qing dynasty (1644-1911) or Republic period (1912-1949),Hetian nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Brush washer,https://searchcollection.asianart.org/internal/media/dispatcher/13728/preview,https://searchcollection.asianart.org/objects/6250/brush-washer?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=837,B60J58,,approx. 1700-1800,,"H. 2 1/4 in x W. 6 1/2 in x D. 4 1/4 in, H. 5.7 cm x W. 16.5 cm x D. 10.8 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Avalokiteshvara (Guanyin) of the South Sea,https://searchcollection.asianart.org/internal/media/dispatcher/13801/preview,https://searchcollection.asianart.org/objects/6269/avalokiteshvara-guanyin-of-the-south-sea?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=838,B60J101,,1800s,,"H. 8 1/4 in x W. 5 3/8 in x D. 2 3/4 in, H. 21 cm x W. 13.7 cm x D. 7 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Vessel (gong),https://searchcollection.asianart.org/internal/media/dispatcher/13826/preview,https://searchcollection.asianart.org/objects/6276/vessel-gong?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=839,B60J115,,approx. 1800-1900,,"H. 5 3/8 in x W. 3 1/8 in x D. 1 3/8 in, H. 13.7 cm x W. 7.9 cm x D. 3.5 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Hetian nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Dish in the shape of a hibiscus blossom,https://searchcollection.asianart.org/internal/media/dispatcher/13842/preview,https://searchcollection.asianart.org/objects/6282/dish-in-the-shape-of-a-hibiscus-blossom?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=840,B60J126,,approx. 1800-1900,,"H. 1 in x Diam. 8 3/4 in, H. 2.5 cm x Diam. 22.2 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Manasi nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Brush container in the shape of a tree trunk with fungus of immortality,https://searchcollection.asianart.org/internal/media/dispatcher/13941/preview,https://searchcollection.asianart.org/objects/6312/brush-container-in-the-shape-of-a-tree-trunk-with-fungus-of?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=841,B60J171,,approx. 1900-1940,,"H. 3 3/8 in x W. 4 1/4 in x D. 3 1/8 in, H. 8.6 cm x W. 10.8 cm x D. 7.9 cm",The Avery Brundage Collection,,China,,Quartz,Chinese Art,Jade And Stones,On view,,,,,
Triangular stand,https://searchcollection.asianart.org/internal/media/dispatcher/66043/preview,https://searchcollection.asianart.org/objects/6314/triangular-stand?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=842,B77M15,,1300-1400,,"H. 13 3/4 in x W. 10 5/8 in x D. 9 1/4 in, H. 34.9 cm x W. 26.9 cm x D. 23.4 cm",Museum purchase,,China,,Lacquer with inlaid mother-of-pearl and gold paint,Chinese Art,Decorative Arts,Not on view,,Yuan dynasty (1271-1368) or Ming dynasty (1368-1644),,,
Bean-shaped box with chains,https://searchcollection.asianart.org/internal/media/dispatcher/13960/preview,https://searchcollection.asianart.org/objects/6320/beanshaped-box-with-chains?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=843,B60J178,,approx. 1800-1900,,"H. 1 1/4 in x W. 4 1/2 in x D. 1/2 in, H. 3.17 cm x W. 11.43 cm x D. 1.27 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Spittoon,https://searchcollection.asianart.org/internal/media/dispatcher/14028/preview,https://searchcollection.asianart.org/objects/6341/spittoon?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=844,B60J233.a-.b,,1900-1949,,"H. 2 3/8 in x Diam. 5 in, H. 6.3 cm x Diam. 12.7 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Yi pouring vessel,https://searchcollection.asianart.org/internal/media/dispatcher/14038/preview,https://searchcollection.asianart.org/objects/6344/yi-pouring-vessel?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=845,B60J238,,approx. 1800-1900,,"H. 2 1/2 in x W. 5 1/4 in x D. 2 7/8 in, H. 6.3 cm x W. 13.3 cm x D. 7.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Square cup,https://searchcollection.asianart.org/internal/media/dispatcher/14080/preview,https://searchcollection.asianart.org/objects/6350/square-cup?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=846,B60J249,,,,"H. 1 5/8 in x Diam. 2 3/4 in, H. 4.1 cm x Diam. 7 cm",The Avery Brundage Collection,,China,Ming dynasty (1368-1644),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
After Waterfall and Soughing Pine,https://searchcollection.asianart.org/internal/media/dispatcher/14105/preview,https://searchcollection.asianart.org/objects/6364/after-waterfall-and-soughing-pine?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=847,B60J265,,1700s,,"H. 9 1/4 in x W. 5 in x D. 4 in, H. 23.5 cm x W. 12.7 cm x  D. 10.2 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Pair of geese holding a lotus branch,https://searchcollection.asianart.org/internal/media/dispatcher/14276/preview,https://searchcollection.asianart.org/objects/6397/pair-of-geese-holding-a-lotus-branch?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=848,B60J338,,approx. 1800-1900,,"H. 2 in x W. 2 3/8 in x D. 1 in, H. 5.1 cm x W. 6.0 cm x D. 2.5 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Tiger with five poisons,https://searchcollection.asianart.org/internal/media/dispatcher/14310/preview,https://searchcollection.asianart.org/objects/6407/tiger-with-five-poisons?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=849,B60J352,,1800s,,"H. 2 1/8 in x W. 3 3/4 in x D. 1 1/2 in, H. 5.4 cm x W. 9.5 cm x D. 3.8 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Deer presenting a vase,https://searchcollection.asianart.org/internal/media/dispatcher/14361/preview,https://searchcollection.asianart.org/objects/6419/deer-presenting-a-vase?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=850,B60J378,,approx. 1800-1900,,"H. 4 1/2 x W. 4 3/4 in x D. 1 3/4 in, H. 11.4 cm x W. 12.06 cm x D. 4.44 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Large basin,https://searchcollection.asianart.org/internal/media/dispatcher/14434/preview,https://searchcollection.asianart.org/objects/6424/large-basin?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=851,B60J405,,1900-1949,,"h. 4 in x W. 11 in x D. 8 1/4, H. 10.2 cm x W. 28 cm x D. 21 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Vessel (gu) with ring handles,https://searchcollection.asianart.org/internal/media/dispatcher/14588/preview,https://searchcollection.asianart.org/objects/6443/vessel-gu-with-ring-handles?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=852,B60J494,,approx. 1900-1949,,"H. 12 3/16 in x 7 3/4 in x D. 4 5/8 in, H. 31.0 cm x W. 19.7 cm x D. 11.7 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Hetian nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Owl,https://searchcollection.asianart.org/internal/media/dispatcher/15376/preview,https://searchcollection.asianart.org/objects/6447/owl?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=853,B60J964.a-.b,,1800-1960,,"H. 14 in x Diam. 5 1/2 in, H. 35.6 cm x Diam. 14.0 cm",The Avery Brundage Collection,,China,,Jadeite,Chinese Art,Jade And Stones,Not on view,,,,,
Flat vessel with lid,https://searchcollection.asianart.org/internal/media/dispatcher/14603/preview,https://searchcollection.asianart.org/objects/6448/flat-vessel-with-lid?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=854,B60J500.a-.b,,approx. 1800-1900,,"H. 10 3/4 in x W. 5 5/8 in x D. 2 in, H. 27.3 cm x W. 14.3 cm x D. 5.1 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Hetian nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Pendant (huang),https://searchcollection.asianart.org/internal/media/dispatcher/14641/preview,https://searchcollection.asianart.org/objects/6456/pendant-huang?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=855,B60J516,,approx. 1900-1940,,"L. 4 1/4 in x W. 7/8 in x D. 1/16 in, L. 10.8 cm x W. 2.22 cm x D. .16 cm Density (middle) 1/8 in",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Belt set (hook and buckle),https://searchcollection.asianart.org/internal/media/dispatcher/14663/preview,https://searchcollection.asianart.org/objects/6466/belt-set-hook-and-buckle?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=856,B60J535.a-.b,,approx. 1900-1949,,"H. 1/2 in x W. 3 in x D. 1 in, H. 1.27 cm x W. 7.62 cm x D. 2.54 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Pendant in the form of a curled animal,https://searchcollection.asianart.org/internal/media/dispatcher/15262/preview,https://searchcollection.asianart.org/objects/6578/pendant-in-the-form-of-a-curled-animal?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=857,B60J895,,approx. 1700-1800,,"H. 3/4 in x Diam. 1 1/2 in, H. 1.9 cm x Diam. 3.8 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Covered ink box,https://searchcollection.asianart.org/internal/media/dispatcher/15392/preview,https://searchcollection.asianart.org/objects/6615/covered-ink-box?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=858,B60J970.a-.b,,approx. 1700-1900,,"H. 1 1/4 in x W. 2 1/2 in x D. 3 1/4 in, H. 3.2 cm x W. 6.3 cm x D. 8.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Auspicious fish playing with a pearl,https://searchcollection.asianart.org/internal/media/dispatcher/20600/preview,https://searchcollection.asianart.org/objects/6623/auspicious-fish-playing-with-a-pearl?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=859,B62J9,,1900s,,"H. 3 in x W. 3 3/4 in x  D. 3/4 in, H. 7.6 cm x W. 9.5 cm x D. 1.9 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
